DOG NAME,LINK,SEX,AGE,WEIGHT,BREED MIXES,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,KIDS2,month,year,Column3,Column4,Column5,Column6,Column7,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,HW,FT,C,ALTERED,Column1,Dog Name,Column2,ID,TRANSPORT DATE,Date of Birth,Adopted On,MIX,AGE MEASURE,SECONDARY BREED,SPAYED/NEUTERED
Harmonie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16639125&key=Mqr6gy1W,Female,4 years,45.00lbs,Spaniel,Brown (chocolate),YES,,,S/N: 6/20/2021,,May,2021,,,,,,COMPLETED,,,,2021-03-11 00:00:00,2021-03-27 00:00:00,,Unaltered,,,,FLRN-FD-21-0568,2021-03-27 00:00:00,2017-03-18,2021-05-02,,,,
Maize,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16673328&key=Mqr6gy1W,Female,2 years,13.00lbs,Chihuahua,Brown,YES,,NO,4/6/21 - Will need dental in the next 6 months ,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); no kids under 12 due to breed,,,2021-04-09 00:00:00,2021-04-09 00:00:00,,Altered,,,,AUPA-FD-21-0649,2021-04-06 00:00:00,2019-04-01,2021-05-02,,,,
Maria,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16704363&key=Mqr6gy1W,Female,2 years,39.80lbs,Labrador Retriever,Black & White,YES,,,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); ,,,2021-04-08 00:00:00,2021-03-30 00:00:00,,Altered,,,,LACS-FD-21-0790,2021-04-24 00:00:00,2019-04-13,2021-05-01,,,,
Marta,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16720812&key=Mqr6gy1W,Female,9 months,36.40lbs,Labrador Retriever,,YES,,,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); ,,,2021-04-08 00:00:00,2021-03-30 00:00:00,,Altered,,,,LACS-FD-21-0826,2021-04-24 00:00:00,2020-07-20,2021-05-01,,,,
Musubi,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16697521&key=Mqr6gy1W,Male,1 years,42.00lbs,German Shepherd,Black & Tan,YES,,Lives with kids,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); ; german shepherd screen; Caution on apartments; Lives with kids,GS, Lives with a 5 year old and a 2 year old,DUE 4/28,2021-04-24 00:00:00,,Altered,,,,LACS-MD-21-0793,2021-04-24 00:00:00,2020-04-10,2021-05-02,,,,
Sealy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16681667&key=Mqr6gy1W,Female,5 months,20.00lbs,Labrador Retriever,Brown (chocolate),YES,,,Demodex,,May,2021,,,,,,COMPLETED,Older Puppy Screen,,,2021-04-02 00:00:00,NG 4/6,,Altered,,,,FLRN-FD-21-0694,2021-04-10 00:00:00,,,,,,
Connie (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16706368&key=Mqr6gy1W,Female,3 months,20.00lbs,Labrador Retriever,Tri-color,YES,,,S/N: 7/16/2021,,May,2021,,,,,,COMPLETED,Puppy Screen,,,TY,2021-04-23 00:00:00,,Unaltered,,,,MAWF-FD-21-0761,2021-04-23 00:00:00,2021-01-16,2021-05-03,,,,
Easter (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16702823&key=Mqr6gy1W,Female,2 months,12.00lbs,Labrador Retriever,Black,YES,,,S/N: 7/21/2021,,May,2021,,,,,,COMPLETED,Puppy Screen,,,2021-04-01 00:00:00,2021-04-24 00:00:00,,Unaltered,,,,FLRN-FD-21-0801,2021-04-24 00:00:00,2021-02-02,2021-05-03,,,,
Maximus,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16720714&key=Mqr6gy1W,Male,3.5 years,22.00lbs,Jack Russell Terrier,Tricolor,YES,,,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); ,,,2021-04-19 00:00:00,2021-04-19 00:00:00,,Altered,,,,ASSC-MD-21-0774,2021-04-24 00:00:00,2017-10-20,2021-05-03,,,,
Prince,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16703064&key=Mqr6gy1W,Male,1 years,45.00lbs,Shepherd / Terrier Mix,Black & Tan,YES,,,"4/28/21 - lump on back paw seems irritated, treated w/ clavamox x 5 days. resolved ",,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); Caution on apartments,,,,,,Altered,,,,GKPR-MD-21-0751,2021-04-17 00:00:00,2019-04-13,2021-05-03,,,,
Norway (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16720722&key=Mqr6gy1W,Male,4 months,15.80lbs,Doberman,Black & Tan,YES,,,S/N: 6/21/21,,May,2021,,,,,,COMPLETED,Puppy Screen,,,2021-04-14 00:00:00,2021-04-01 00:00:00,,Unaltered,,,,LACS-MD-21-0777,2021-04-24 00:00:00,2020-12-20,,,,,
Harriet,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16673180&key=Mqr6gy1W,Female,5 years,75.00lbs,Shepherd,Black & Brown,YES,,Yes,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); good with kids per shelter,,,2021-04-10 00:00:00,2021-04-10 00:00:00,,Altered,,,,AUPA-FD-21-0646,2021-04-06 00:00:00,2016-04-01,2021-05-04,,,,
Owen (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16741756&key=Mqr6gy1W,Male,9 weeks,10.00lbs,Shepherd/beagle mix,Tri-Color,YES,,,S/N: 8/21/2021,,May,2021,,,,,,COMPLETED,Puppy Screen; caution on apartments due to breed,,,2021-04-15 00:00:00,2021-05-01 00:00:00,,Unaltered,,,,FLRN-MD-21-0880,2021-05-01 00:00:00,2021-02-24,,,,,
Prince Charming (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16743050&key=Mqr6gy1W,Male,15 weeks,16.00lbs,Labrador,Black with White,YES,,,Has demodex; altered,,May,2021,,,,,,COMPLETED,Puppy screen,,,DUE 5/2,DUE 5/2,,Altered,,,,FRKN-MD-21-0883,2021-05-01 00:00:00,2021-01-13,2021-05-04,,,,
Bossman,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16670435&key=Mqr6gy1W,Male,5 years,9.00lbs,Chihuahua,Black,YES,NO,Lived with,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); no cats (barks); lived with kids at foster with shelter partner,,,2021-04-10 00:00:00,2021-04-02 00:00:00,,Altered,,,,AUPA-MD-21-0641,2021-04-06 00:00:00,2016-03-31,2021-05-06,,,,
Declan,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16697585&key=Mqr6gy1W,Male,2 years,65.00lbs,Labrador Retriever,Brown (chocolate),YES,,Lives with Kids,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); ,,Lives with Kids,2021-04-24 00:00:00,2021-04-24 00:00:00,,Altered,,,,LACS-MD-21-0785,2021-04-24 00:00:00,2019-04-10,2021-05-06,,,,
Farah,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16655479&key=Mqr6gy1W,Female,4 years,45.64lbs,Shepherd,Black,YES,,,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); ,,,2021-03-22 00:00:00,2021-03-22 00:00:00,,Altered,,,,TLHS-FD-21-0636,2021-04-03 00:00:00,2017-03-24,2021-05-06,,,,
Honey,,Female,3/16/21 DOB,,,,YES,,,S/N: EST 9/15/21,,May,2021,,,,,,COMPLETED,,,,TY,TY,,Unaltered,,,,FLRN-FD-21-0690,2021-03-27 00:00:00,2021-03-16,,,,,
Macho,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16720849&key=Mqr6gy1W,Male,2 years,15.00lbs,Chihuahua,Fawn & White,YES,,NO,"5/1/21 - Uvetis secondary to supsected Ehrlichia +, treated with 3 diferent eye medications ",,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); no kids under 12 due to breed,,,2021-04-15 00:00:00,2021-04-24 00:00:00,,Altered,,,,FLRN-MD-21-0810,2021-04-24 00:00:00,2019-04-22,2021-05-05,,,,
Mayo (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16728829&key=Mqr6gy1W,Male,10 weeks,11.00lbs,Labrador Retriever,,YES,,,S/N: 7/1/2021,,May,2021,,,,,,COMPLETED,Puppy Screen,,,2021-04-15 00:00:00,2021-04-24 00:00:00,,Unaltered,,,,FLRN-MD-21-0822,2021-04-24 00:00:00,2021-02-12,,,,,
Sunny,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16703058&key=Mqr6gy1W,Male,5 months,38.00lbs,Hound,Brown & White,YES,,,,,May,2021,,,,,,COMPLETED,Older puppy screen; caution on apartments due to breed,,,2021-04-15 00:00:00,2021-04-24 00:00:00,,Altered,,,,FLRN-MD-21-0804,2021-04-24 00:00:00,2020-11-14,2021-05-06,,,,
Beaumont,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16696557&key=Mqr6gy1W,Male,2 years,37.00lbs,Australian Cattle Dog / Blue Heeler Mix,Red & White,YES,,,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime; Caution on apartments,,,DUE 4/30,2021-04-24 00:00:00,,Altered,,,,LACS-MD-21-0781,2021-04-24 00:00:00,2019-04-10,,,,,
Jimmy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16721616&key=Mqr6gy1W,Male,3 years,8.00lbs,Chihuahua,Fawn & White,YES,,NO,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); no kids under 15,,,2021-04-16 00:00:00,2021-04-24 00:00:00,,Altered,,,,FLRN-MD-21-0809,2021-04-24 00:00:00,2017-04-20,,,,,
Lottie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16680742&key=Mqr6gy1W,Female,2 months,11.00lbs,Labrador Retriever,Black,YES,,,S/N: 7/21/2021,,May,2021,,,,,,COMPLETED,Puppy Screen; bully warning,WARNING,,2021-04-05 00:00:00,2021-04-08 00:00:00,,Unaltered,,,,FLRN-FD-21-0666,2021-04-08 00:00:00,2021-01-24,,,,,
Peeka,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13613941&key=Mqr6gy1W,Female,3 years,60.00lbs,Catahoula,Tan Merle,CAUTION,,,Enucleated left eye,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime; Commitment to postive training; should start as an only dog but could live with another dog; trainer recommends commitment to socialization as well ,,,,,,Altered,,,,FLRN-FD-18-1585,,2017-11-24,,,,,
Bubba,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16740995&key=Mqr6gy1W,Male,1 years,58.40lbs,Labrador Retriever / Golden Retriever Mix,Yellow,Yes,,LIVED WITH,,,May,2021,,,,,,COMPLETED,New this week,,,,,,,,,,MAWF-MD-21-0844,,2020-01-28,2021-05-07,,,,
Gene (2 shots),,Male,2 months,11.00lbs,Terrier / Shepherd Mix,Brown (chocolate),Yes,,,S/N: 8/20/21,,May,2021,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,MAWF-MD-21-0850,,2021-02-20,2021-05-07,,,,
Coco,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16372283&key=Mqr6gy1W,Female,1 years,47.00lbs,Labrador Retriever,Brindle,REQUIRED,Passed cat test,NO,"Got out and was lost for a week - came back with heavy injuries to her paw pads (three of the four completely raw) and needed x-rays for her leg -- had a caudal cruciate tear - long rest and possibly needs rehab in the future. 4-6 week mark still limping - pursuing physical therpay (laser and water combo) first appt on 3/25. 3/28 - Unable to assess injuried at PT, pursuing surgical consult. 3/31 - steroid injection administered into affected knee, will assess progress over the next few weeks. 4/19 - leg amputated. 5/4 - suture removal scheduled 

CRITICAL CARE",,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); 2nd dog required; no kids under 12 due to shyness; Good with cats,,"BIG Flight risk; lives with two dogs right now - one older and calm, that's a typical partner for a second dog required and does well; the other dog is very high energy with little boundaries and coco will try to play but then get overwhelmed and growl and run to her crate but does NOT like the crate when it's closed and will bark, whine, cry to get out. Update 2/21: 'From foster verbatim: she loves the crate now, she hardly barks when left alone. Gets along fine with Packer (kylie has been adopted and no longer here). Terrified of people and other dogs, poops herself when encounters new people/dogs""",2021-01-16 00:00:00,2021-02-04 00:00:00,,Altered,,,,FLRN-FD-20-3450,2021-01-09 00:00:00,2018-12-23,2021-05-09,,,,
Elouise (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16400028&key=Mqr6gy1W,Female,6 years,50.00lbs,Shepherd,Brindle,REQUIRED,,NO,HW treated 12/21,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime);  HW treated; Second dog required; no kids under 12,,"Foster says she's seeing a lot of fear and timidness -- seems like might be a second dog issue but she coudl just be scared post transport; Ashley asked for a video to see her behavior; Update (1/13/21) - doesn't seem to need another dog, just a little more anxious -- struggling with some wheezing/coughing so vetting team started on meds to help in case it's realted to HW treatment, but also added some CBD oil to ensure it's not anxiety related ",2021-01-22 00:00:00,2021-02-09 00:00:00,,Altered,,,,FLRN-FD-21-0012,2020-11-28 00:00:00,2015-01-04,2021-05-08,,,,
Goomba,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16713854&key=Mqr6gy1W,Male,3 years,19.00lbs,Jack Russell Terrier,White,YES,Passed cat test,,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); Passed cat test,,,2021-04-14 00:00:00,2021-04-14 00:00:00,,Altered,,,,BCAF-MD-21-0834,2021-04-30 00:00:00,2018-04-17,2021-05-08,,,,
Marky,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16674301&key=Mqr6gy1W,Male,1 years,50.00lbs,Shepherd,Tan,YES,,,"4/29/21 - Eye redness, suspected secondary to allergies, trying Zyrtec",,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); Commitment to socialization,,"First foster reported he got into a few tussles on leash and was reactive; wasn't comfortable working on it with him at all so limited his walk time and socialization with dogs (cut it out completely); moved to Rachel (second foster) who's been working on leash walking first, avoiding dogs on leash, and is setting up a playdate for Marky to try to get him socialized (updated as of 4/21/21) ",2021-03-25 00:00:00,2021-04-10 00:00:00,,Altered,,,,AUPA-MD-21-0650,2021-04-06 00:00:00,2020-04-01,2021-05-09,,,,
Portman,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16695088&key=Mqr6gy1W,Male,4 years,43.00lbs,Pointer,Red & White,YES,,,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); ,,,2021-04-24 00:00:00,2021-04-24 00:00:00,,Altered,,,,LACS-MD-21-0794,2021-04-24 00:00:00,2017-04-10,2021-05-08,,,,
Sasha,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16681664&key=Mqr6gy1W,Female,5 months,20.00lbs,Labrador Retriever,Brown & White,YES,,,Demodex; bad eye,,May,2021,,,,,,COMPLETED,Older Puppy Screen,,,2021-04-02 00:00:00,2021-04-10 00:00:00,,Altered,,,,FLRN-FD-21-0693,2021-04-10 00:00:00,2020-11-04,2021-05-09,,,,
Palmer (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16749314&key=Mqr6gy1W,Male,2 months,9.00lbs,Labrador Retriever / Beagle Mix,Tri-color,YES,,,,,May,2021,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FRKN-MD-21-0864,,2021-03-08,2021-05-08,,,,
Pearlie (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16749326&key=Mqr6gy1W,Female,2 months,9.00lbs,Labrador Retriever / Beagle Mix,Black,YES,,,,,May,2021,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FRKN-FD-21-0865,,2021-03-08,2021-05-08,,,,
Persia (2 shots) ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16749317&key=Mqr6gy1W,Female,2 months,9.00lbs,Labrador Retriever / Beagle Mix,Tri-color,YES,,,,,May,2021,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FRKN-FD-21-0866,,2021-03-08,2021-05-08,,,,
Pierson (2 shots) ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16749338&key=Mqr6gy1W,Male,2 months,9.00lbs,Labrador Retriever / Beagle Mix,Black & White,YES,,,,,May,2021,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FRKN-MD-21-0889,,2021-03-08,2021-05-08,,,,
Porter (2 shots) ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16749345&key=Mqr6gy1W,Male,2 months,9.00lbs,Labrador Retriever / Beagle Mix,Black & White,YES,,,,,May,2021,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FRKN-MD-21-0891,,2021-03-08,2021-05-08,,,,
Princeton (2 shots) ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16749360&key=Mqr6gy1W,Male,2 months,9.00lbs,Labrador Retriever / Beagle Mix,Tri-color,YES,,,,,May,2021,,,,,,COMPLETED,New this week; puppy screen,,,,,,,,,,FRKN-MD-21-0892,,2021-03-08,2021-05-08,,,,
Nemmia (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16720731&key=Mqr6gy1W,Female,4 months,16.80lbs,Doberman,Black & Tan,YES,,,S/N: 6/21/21,,May,2021,,,,,,COMPLETED,Puppy Screen,,,2021-04-14 00:00:00,2021-04-01 00:00:00,,Unaltered,,,,LACS-FD-21-0776,2021-04-24 00:00:00,2020-12-20,,,,,
Roku,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16681692&key=Mqr6gy1W,Male,1-2 years,45.00lbs,Labrador Retriever,Yellow,YES,,,Lip laceration that has since healed,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); ,,,,,,Altered,,,,FLRN-MD-21-0823,2021-04-24 00:00:00,2020-04-04,2021-05-11,,,,
Zelda (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16613877&key=Mqr6gy1W,Female,2 years,45.00lbs,Hound,Tri-color,YES,passed cat test,,HW treated 3/29,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); caution on apartments due to breed; HW treated; passed a cat test,,,2021-04-03 00:00:00,2021-04-10 00:00:00,,Altered,,,,FLRN-FD-21-0698,2021-04-10 00:00:00,2019-03-09,2021-05-11,,,,
Poppie (2 shots) ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16749352&key=Mqr6gy1W,Female,2 months,9.00lbs,Labrador Retriever / Beagle Mix,Tri-color,YES,,,,,May,2021,,,,,,COMPLETED,Puppy screen,,,,,,Altered,,,,FRKN-FD-21-0890,2021-05-08 00:00:00,2021-03-08,2021-05-10,,,,
Bolt,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16713855&key=Mqr6gy1W,Male,2 years,59.00lbs,Shepherd,Fawn & White,YES,,,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); ,,Foster asked to move him because he was pooping in her house; Foster team was working through if there was medical issues or possibly not enough opportunities to go outside before the foster asked to mvoe them; an virtual was put through shortly afterwards,2021-04-30 00:00:00,2021-04-30 00:00:00,,Altered,,,,BCAF-MD-21-0832,2021-04-30 00:00:00,2019-04-17,2021-05-12,,,,
Fruit Loop ,https://portal.rescuegroups.org/preview_description_html?AnimalID=16743036&AccountID=7157,Male,1 years,30.00lbs,Beagle,Tri-Color,YES,,,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime);  caution on apartments due to breed,,,2021-04-16 00:00:00,2021-04-16 00:00:00,,Altered,,,,FRKN-MD-21-0882,2021-05-01 00:00:00,2020-04-28,2021-05-13,,,,
George (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16573605&key=Mqr6gy1W,Male,2 years,35.00lbs,Shepherd / Pug Mix,Tan & White,YES,,,HW treated 3/30,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); HW treated; has some fear of men - must be commited to working through it; ,,,2021-03-16 00:00:00,2021-04-10 00:00:00,,Altered,,,,FLRN-MD-21-0680,4/10/2021\,2019-02-23,,,,,
Ms. China (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16713849&key=Mqr6gy1W,Female,4 months,24.00lbs,Mountain Cur,Fawn,YES,,,,,May,2021,,,,,,COMPLETED,Puppy screen,,,2021-04-01 00:00:00,2021-04-01 00:00:00,,Unaltered,,,,BCAF-FD-21-0835,2021-04-30 00:00:00,2020-12-19,2021-05-13,,,,
Nelson (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16720728&key=Mqr6gy1W,Male,4 months,17.20lbs,Doberman,Black & Tan,YES,,,S/N: 6/21/21,,May,2021,,,,,,COMPLETED,Puppy Screen,,,2021-04-14 00:00:00,2021-04-01 00:00:00,,Unaltered,,,,LACS-MD-21-0778,2021-04-24 00:00:00,2020-12-20,,,,,
Ziggy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16699437&key=Mqr6gy1W,Male,7 months,45.00lbs,Labrador Retriever,Black,REQUIRED,,NO,,,May,2021,,,,,,COMPLETED,"Walks alone not enough (needs running or playtime); 2nd dog required, no kids under 12 due to shyness",,,,,,Altered,,,,CTXR-MD-21-0750,2021-04-16 00:00:00,2020-09-12,2021-05-12,,,,
Pansie (2 shots) ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16749320&key=Mqr6gy1W,Female,2 months,9.00lbs,Labrador Retriever / Beagle Mix,Black,YES,,,,,May,2021,,,,,,COMPLETED,Puppy screen,,,,,,Altered,,,,FRKN-FD-21-0867,2021-05-08 00:00:00,2021-03-08,,,,,
Petra (2 shots) ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16749334&key=Mqr6gy1W,Female,2 months,9.00lbs,Labrador Retriever / Beagle Mix,Black,YES,,,,,May,2021,,,,,,COMPLETED,Puppy screen,,,,,,Altered,,,,FRKN-FD-21-0876,2021-05-08 00:00:00,2021-03-08,,,,,
Alma,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16559432&key=Mqr6gy1W,Female,7 months,37.00lbs,Labrador Retriever,Black,REQUIRED,Passed cat test,NO,2/26/21 -URI being treated with Doxy x 7 days. Resolved,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or platime); 2nd dog required; no kids under 12 due to shyness,,Foster concerned about separation anxiety and rough play with her resident dog; ,2021-03-27 00:00:00,2021-03-27 00:00:00,,Altered,,,,FLRN-FD-21-0374,2021-02-20 00:00:00,2020-08-15,2021-05-15,,,,
Buster,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16464792&key=Mqr6gy1W,Male,5 years,65.00lbs,Basset Hound,Brown & White,CAUTION,NO,LIVES WITH,Has a few cuts that the team is monitoring; ,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); can escape a yard; NO cats; NO apartments; Good with dogs his size and smaller -- no big dogs; can go to the dog park but should be removed when there are large dogs present; barky on leash,,"Not good with big dogs -- on and off leash; he's great at the dog park and will coexist and play with dogs his size or smaller; big dogs he is reactive to and will attaack in the dog park so he should be removed when there's a bigger dog coming into the dog park; fairly reactive on leash but foster is working through it, but will be a concern for future adopters; current foster lives in an apartment and manages coming and going on leash with him, but not adviseable for an adopter, also notes that he barks at the noises in the apartment",2021-01-16 00:00:00,2021-01-30 00:00:00,,Altered,,,,FLRN-MD-21-0179,2021-01-09 00:00:00,2016-01-27,2021-05-16,,,,
Catie (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16739612&key=Mqr6gy1W,Female,16 weeks,25.00lbs,Shepherd,Tricolor,YES,,,,,May,2021,,,,,,COMPLETED,Puppy Screen,,,2021-04-15 00:00:00,2021-05-01 00:00:00,,Altered,,,,FLRN-FD-21-0839,2021-05-01 00:00:00,2021-01-05,2021-05-16,,,,
Charleston (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16739611&key=Mqr6gy1W,Female,16 weeks,25.00lbs,Shepherd,Tricolor,YES,,,,,May,2021,,,,,,COMPLETED,Puppy Screen,,,2021-04-15 00:00:00,2021-05-01 00:00:00,,Altered,,,,FLRN-FD-21-0840,2021-05-01 00:00:00,2021-01-05,2021-05-16,,,,
Clover (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16739605&key=Mqr6gy1W,Female,16 weeks,25.00lbs,Shepherd,Brown & White,YES,,,,,May,2021,,,,,,COMPLETED,Puppy Screen,,,2021-04-15 00:00:00,2021-05-01 00:00:00,,Altered,,,,FLRN-FD-21-0841,2021-05-01 00:00:00,2021-01-05,2021-05-16,,,,
Coal,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16665757&key=Mqr6gy1W,Male,3 months,17.50lbs,Australian Cattle Dog / Blue Heeler Mix,Tan & White,YES,,,,,May,2021,,,,,,COMPLETED,Puppy screen,,Fairly shy per the foster,2021-03-15 00:00:00,2021-03-15 00:00:00,,Altered,,,,TLHS-MD-21-0617,2021-04-03 00:00:00,2020-12-29,2021-05-16,,,,
Dash,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16775670&key=Mqr6gy1W,Male,DOB: 3/26/21,,Beagle,,YES,,,,,May,2021,,,,,,COMPLETED,Puppy screen; born in care; caution on apartments due to breed,,,,,,,,,,FLRN-MD-21-0756,,2021-03-26,2021-05-15,,,,
Delilah,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16775681&key=Mqr6gy1W,Female,DOB: 3/26/21,,Beagle,,YES,,,,,May,2021,,,,,,COMPLETED,Puppy screen; born in care; caution on apartments due to breed,,,,,,,,,,FLRN-FD-21-0755,,2021-03-26,2021-05-16,,,,
Dino,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16775695&key=Mqr6gy1W,Male,DOB: 3/26/21,,Beagle,,YES,,,,,May,2021,,,,,,COMPLETED,Puppy screen; born in care; caution on apartments due to breed,,,,,,,,,,FLRN-MD-21-0754,,2021-03-26,2021-05-16,,,,
Duke,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16775908&key=Mqr6gy1W,Male,DOB: 3/26/21,,Beagle,,YES,,,4/10/21 - submandibular abscess treated with Clavamox x 10 days ,,May,2021,,,,,,COMPLETED,Puppy screen; born in care; caution on apartments due to breed,,,,,,,,,,FLRN-MD-21-0757,,2021-03-26,2021-05-16,,,,
Gwyneth,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=16673034&key=Mqr6gy1W,Female,1.5 years,41.00lbs,Border Collie,White w/ black spots,YES,,CAUTION,,,May,2021,,,,,,COMPLETED,Walks alone not enough (needs running or playtime); initially shy but warmed up quickly per the shelter; caution on kids in the home,,"Foster reports that while he has children in the home, they are dog savvy and still fairly cautious around Gwyneth, she is very active and doesn't know her strength or boundaries; fairly mouthy as well and the foster thinks Gwyneth might get overwhelmed by the children as well so they do lots of breaks and she's happier; great with dogs on leash (has done well at all our events meeting other dogs) and loves playtime; ",2021-04-10 00:00:00,2021-04-02 00:00:00,,Altered,,,,AUPA-FD-21-0645,2021-04-06 00:00:00,2019-10-01,,,,,
