DOG NAME,LINK,SEX,AGE,WEIGHT,BREED MIXES,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,month,year,ID,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,TRANSPORT DATE,ALTERED,HW,FT,C,Date of Birth,Adopted On,MIX,AGE MEASURE,SECONDARY BREED,SPAYED/NEUTERED
Tater,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13695385&key=Mqr6gy1W,Male,2 years,Dachshund,Black w/ Tan,Medium energy; 2nd dog required,,,,,,2018,FLRN-MD-18-1645,,REQUIRED,,,,,,,,10/16/2016,11/4/2018,,,,
Pokey (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13640469&key=Mqr6gy1W,Male,9 weeks,Labrador Retriever,Yellow,"Puppy Screen
S/N: 2/1/19",,,,,,2018,FLRN-MD-18-1605,,Yes,,,,,,,,8/13/2018,11/4/2018,,,,
Trixie (3 shots),,Female,4 months,"Labrador Retriever, Pointer",Black/Brown/White,"New this week; Labrador/Pointer mix; Puppy Screen
S/N: 12/7/19",,,,,,2018,PRCO-FD-18-1686,,Yes,,,,,,,,6/15/2018,11/4/2018,,,,
Dazzle (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13681674&key=Mqr6gy1W,Female,3 months,Labrador Retriever,Black w/ White,"Puppy Screen
S/N: 1/15/19",,,,,,2018,FLRN-FD-18-1632,,Yes,,,,,,,,7/23/2018,11/5/2018,,,,
Tina (3 shots),,Female,4 months,"Labrador Retriever, Pointer",Tan w/ White,"New this week; Labrador/Pointer mix; Puppy Screen
S/N: 12/7/19",,,,,,2018,PRCO-FD-18-1684,,Yes,,,,,,,,6/15/2018,11/4/2018,,,,
Abril,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13692828&key=Mqr6gy1W,Female,2 years,Boxer,Red & White,New this week; Boxer mix; Bully Screen,,,,,,2018,FLRN-FD-18-1695,,Yes,,,,,,,,10/16/2016,11/18/2018,,,,
Apple,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13744924&key=Mqr6gy1W,Female,5 months,Labrador Retriever,Red & White,New this week; Labrador mix; 5 month old puppy,,,,,,2018,FLRN-FD-18-1697,,Yes,,,,,,,,5/14/2018,11/10/2018,,,,
Asher,http://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13746700&key=Mqr6gy1W,Male,5 months,Boston Terrier,Black & White,New this week; Boston Terrier mix; 5 month old puppy,,,,,,2018,FLRN-MD-18-1698,,Yes,,,,,,,,11/1/2013,11/10/2018,,,,
Cotton,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13749768&key=Mqr6gy1W,Female,1 year,Great Pyrenees,White,New this week; Great Pyrenees mix,,,,,,2018,FLRN-FD-18-1729,,Yes,,,,,,,,8/1/2017,11/10/2018,,,,
Duke,,Male,,,,,,,,,,2018,FLRN-MD-18-1713,,,,,,,,,,7/1/2017,11/10/2018,,,,
Adam,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13744915&key=Mqr6gy1W,Male,5 months,Labrador Retriever,Black & White,Walks alone not enough (needs running or playtime); 5 month old puppy,,,,,,2018,FLRN-MD-18-1696,,Yes,,,,,,,,5/14/2018,11/16/2018,,,,
McCready,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13745437&key=Mqr6gy1W,Male,1-2 years,Wire-Haired Terrier,Tan,New this week; Wire-Haired Terrier mix,,,,,,2018,FLRN-MD-18-1709,,Yes,,,,,,,,11/5/2017,11/10/2018,,,,
Moe,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13741549&key=Mqr6gy1W,Male,1 year,Maltese,Yellow,New this week; Maltese mix,,,,,,2018,FLRN-MD-18-1711,,Yes,,,,,,,,11/2/2017,11/10/2018,,,,
Patch (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13729890&key=Mqr6gy1W,Female,3 months,Australian Shepherd,Tri-color,"New this week; Australian Shepherd mix; Puppy Screen
S/N: 1/1/19",,,,,,2018,FLRN-FD-18-1714,,Yes,,,,,,,,6/23/2018,11/10/2018,,,,
Wendell (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13639611&key=Mqr6gy1W,Male,3 years,"Labrador Retriever, Flat-coated Retriever",Black,New this week; Labrador/Flat-Coated Retriever mix; HW treated 10/23/18,,,,,,2018,FLRN-MD-18-1741,,Yes,,,,,,,,10/6/2015,11/10/2018,,,,
Yancy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13745474&key=Mqr6gy1W,Male,1-2 years,"Schnauzer, Wire-Haired Terrier",Tan,New this week; Schnauzer/Wire-Haired Terrier mix,,,,,,2018,FLRN-MD-18-1727,,Yes,,,,,,,,11/5/2017,11/10/2018,,,,
Hamilton,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13698061&key=Mqr6gy1W,Male,1 year,Airedale Terrier,Golden,Walks alone not enough (needs running or playtime),,,,,,2018,KAHS-MD-18-1672,,Yes,,,,,,,,10/23/2017,11/10/2018,,,,
Ryker,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13679549&key=Mqr6gy1W,Male,1 year,Shepherd,Fawn,Walks alone not enough (needs running or playtime); passed shelter cat test,Passed shelter test,,,,,2018,FLRN-MD-18-1640,,Yes,,,,,,,,10/16/2017,11/10/2018,,,,
Lilly (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13441719&key=Mqr6gy1W,Female,2 years,"Labrador Retriever, Terrier",Brown & White,Walks alone not enough (needs running or playtime); Bully Screen; HW treated 8/28/18; lived with cats (wants to play),Lived with cats (wants to play),,,,,2018,FLRN-FD-18-1576,,Yes,,,,,,,,8/25/2016,11/10/2018,,,,
Gil (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13548894&key=Mqr6gy1W,Male,3 months,"Shepherd, Retriever",Black w/ White,"Puppy Screen
S/N: 1/29/19",,,,,,2018,FLRN-FD-18-1479,,Yes,,,,,,,,7/25/2018,10/20/2018,,,,
Clyde,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13640376&key=Mqr6gy1W,Male,2 years,Mastiff,Black,Walks alone not enough (needs running or playtime),Did OK with shelter test,,,,,2018,FLRN-MD-18-1569,,Yes,,,,,,,,10/6/2016,11/10/2018,,,,
Josie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13667896&key=Mqr6gy1W,Female,10 months,Labrador Retriever,Black,Walks alone not enough (needs running or playtime); lived with cats,Lived with,,,,,2018,FLUR-FD-18-1639,,Yes,,,,,,,,12/14/2017,11/10/2018,,,,
Doodle (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13667572&key=Mqr6gy1W,Male,3 months,"Terrier, Pointer",White w/ Brown,"Puppy Screen; Bully Screen
S/N: 1/15/19",,,,,,2018,FLRN-MD-18-1633,,Yes,,,,,,,,7/23/2018,11/10/2018,,,,
Koa,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13705817&key=Mqr6gy1W,Male,5 years,Spaniel,Fawn & White,Medium energy,,,,,,2018,KAHS-MD-18-1673,,Yes,,,,,,,,10/23/2013,11/9/2018,,,,
Lena,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13697397&key=Mqr6gy1W,Female,1 year,Great Pyrenees,White,Walks alone not enough (needs running or playtime); commitment to socialization,,,,,,2018,MTHY-FD-18-1677,,Yes,,,,,,,,10/20/2017,11/8/2018,,,,
Lovey,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13672326&key=Mqr6gy1W,Female,2 years,American Staffordshire Terrier,Fawn,Walks alone not enough (needs running or playtime); Bully Screen,,,,,,2018,FLUR-FD-18-1659,,Yes,,,,,,,,10/16/2016,11/11/2018,,,,
Laura,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13534304&key=Mqr6gy1W,Female,8 months,Labrador Retriever,Black,Walks alone not enough (needs running or playtime); bully warning,,,,,,2018,FLRN-FD-18-1462,,Yes,,,,,,,,9/10/2017,11/11/2018,,,,
Zippy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13670196&key=Mqr6gy1W,Male,2 years,Shepherd,Black & Tan,Walks alone not enough (needs running or playtime); no cats,No,,,,,2018,FLUR-MD-18-1670,,Yes,,,,,,,,10/14/2016,11/11/2018,,,,
Chico,http://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13525859&key=Mqr6gy1W,Male,1.5 years,American Staffordshire Terrier,Grey and White,Walks alone not enough (needs running or playtime); Bully Screen,,,,,,2018,OTHR-MD-18-1491 ,,Yes,,,,,,,,,,,,,
Charity (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13536670&key=Mqr6gy1W,Female,2 years,Labrador Retriever,Red,New this week; Labrador mix; HW treated 10/9/18,,,,,,2018,FLRN-FD-18-1701,,Yes,,,,,,,,9/12/2016,11/11/2018,,,,
Manny,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13745673&key=Mqr6gy1W,Male,2 years,Terrier,Yellow,New this week; Terrier mix,,,,,,2018,FLRN-MD-18-1708,,Yes,,,,,,,,11/2/2016,11/11/2018,,,,
Sophia,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13756422&key=Mqr6gy1W,Female,9 months,"Labrador Retriever, Beagle",Tan & White,New this week; Labrador Retriever/Beagle mix,,,,,,2018,FLRN-FD-18-1740,,Yes,,,,,,,,2/1/2018,11/11/2018,,,,
Tiger,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13746102&key=Mqr6gy1W,Female,1 year,Shepherd,Brindle,New this week; Shepherd mix,,,,,,2018,FLRN-FD-18-1723,,Yes,,,,,,,,11/1/2017,11/11/2018,,,,
Alaska (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13535621&key=Mqr6gy1W,Female,4 months,Shepherd,Black and White,"Puppy Screen
S/N: 12/21/18",,,,,,2018,FLRN-MD-18-1443,,Yes,,,,,,,,7/2/2018,9/30/2018,,,,
Riddle (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13805627&key=Mqr6gy1W,Male,2 months,Labrador Retriever,Brown,"Puppy Screen
S/N: 3/15/19",,,,,,2018,FLRN-MD-18-1801,,Yes,,,,,,,,9/19/2018,12/16/2018,,,,
Waggs (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13667578&key=Mqr6gy1W,Female,4 months,Labrador Retriever,Black,"Puppy Screen
S/N: 1/7/19",,,,,,2018,FLRN-FD-18-1647,,Yes,,,,,,,,7/16/2018,12/16/2018,,,,
Tinkerbell (3 shots),,Female,4 months,"Labrador Retriever, Pointer",Black w/ White Patch,"Puppy Screen
S/N: 12/7/19",,,,,,2018,PRCO-FD-18-1685,,Yes,,,,,,,,6/15/2018,11/11/2018,,,,
Thumper (3 shots),,Male,4 months,"Labrador Retriever, Pointer",Brindle w/ White,"Puppy Screen
S/N: 12/7/19",,,,,,2018,PRCO-MD-18-1682,,Yes,,,,,,,,6/15/2018,11/9/2018,,,,
Wren,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13753711&key=Mqr6gy1W,Male,5 months,Shepherd,Black & Tan,Walks alone not enough (needs running or playtime); 5 month old puppy,,,,,,2018,FLRN-FD-18-1726,,Yes,,,,,,,,6/6/2018,11/13/2018,,,,
Dallas,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13749396&key=Mqr6gy1W,Male,5 years,Beagle,Tan,Medium energy,,,,,,2018,FLRN-MD-18-1704,,Yes,,,,,,,,11/1/2013,11/17/2018,,,,
Kaia,,Female,1 year,Terrier,Black,Walks alone not enough (needs running or playtime); lived with cats,Lived with,,,,,2018,FLRN-FD-18-1736,,Yes,,,,,,,,11/5/2017,11/16/2018,,,,
Fortune,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13741558&key=Mqr6gy1W,Female,1 year,"Maltese, Terrier",Yellow,Walks alone not enough (needs running or playtime),,,,,,2018,FLRN-FD-18-1705,,Yes,,,,,,,,11/2/2017,11/18/2018,,,,
Hobbs,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13621510&key=Mqr6gy1W,Male,1 year,Labrador Retriever,Black,High energy; walks alone not enough (needs running or playtime); did OK with shelter cat test,Did OK with shelter test,,,,,2018,FLRN-MD-18-1573,,Yes,,,,,,,,9/27/2017,11/17/2018,,,,
Sadie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13074139&key=Mqr6gy1W,Female,3 years,Labrador Retriever,Orange and White,Walks alone not enough (needs running and playtime); needs socialization and 2nd dog required; can jump 7ft fence,,,,,,2018,SAPA-FD-18-0899,,REQUIRED,,,,,,,,5/25/2015,11/17/2018,,,,
Jaymie (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13324817&key=Mqr6gy1W,Female,2 years,Labrador Retriever,Chocolate w/ White Patch,Walks alone not enough (needs running or playtime); can jump 6 ft fence; HW treated 7/30/18,,,,,,2018,FLRN-FD-18-1635,,Yes,,,,,,,,7/21/2016,11/17/2018,,,,
Willa,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13753888&key=Mqr6gy1W,Female,8 months,"Boston Terrier, Shepherd",Black & White,Walks alone not enough (needs running or playtime); lived with cats; Doxy - 50mg 2x/day for 7 days (KC),Lived with cats,,,,,2018,FLRN-FD-18-1725,,Yes,,,,,,,,3/6/2018,11/18/2018,,,,
Wakabi,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13695117&key=Mqr6gy1W,Female,7 months,Shepherd,Brown w/ Black,Walks alone not enough (needs running or playtime),,,,,,2018,SOID-FD-18-1657,,Yes,,,,,,,,4/22/2018,11/18/2018,,,,
Pan (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13729844&key=Mqr6gy1W,Male,4 months,Australian Shepherd,Black & Tan,"Puppy Screen; lived with kids
S/N: 1/1/19",Yes,,,,,2018,FLRN-MD-18-1737,,Yes,,,,,,,,6/23/2018,11/18/2018,,,,
Smith,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13720933&key=Mqr6gy1W,Male,6 months,Labrador Retriever,Black & White,Walks alone not enough (needs running or playtime); 6 month old puppy; being treated for demodex,,,,,,2018,FLRN-MD-18-1721,,Yes,,,,,,,,5/26/2018,11/18/2018,,,,
Jase (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13690686&key=Mqr6gy1W,Male,3 months,Labrador Retriever,Black and White,"Puppy Screen; lived with cats
S/N: 2/1/19",Lived with,,,,,2018,FLRN-MD-18-1661,,Yes,,,,,,,,8/6/2018,11/18/2018,,,,
Dottie (2 shots),,Female,8 weeks,"Shepherd, Pointer",White w/ Black,"Puppy Screen
S/N: 4/7/19",,,,,,2018,FLRN-FD-18-1734,,Yes,,,,,,,,9/11/2018,11/16/2018,,,,
Cassidy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13745413&key=Mqr6gy1W,Female,5 months,"Shepherd, Wire-haired Terrier",Black & Tan,Walks alone not enough (needs running or playtime); 5 month old puppy,,,,,,2018,FLRN-FD-18-1700,,Yes,,,,,,,,6/2/2018,,,,,
Kobe,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13596383&key=Mqr6gy1W,Male,1 year,"Bulldog, Terrier",Black and White,Walks alone not enough (needs running or playtime); Bully Screen,,,,,,2018,MTHY-MD-18-1493,,Yes,,,,,,,,9/26/2017,11/21/2018,,,,
Surf,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13702946&key=Mqr6gy1W,Female,9 months,Labrador Retriever,Black & White,Walks alone not enough (needs running or playtime),,,,,,2018,FLRN-FD-18-1722,,Yes,,,,,,,,1/26/2018,11/19/2018,,,,
Dash (2 shots),,Male,8 weeks,"Shepherd, Pointer",Brindle & White,"Puppy Screen
S/N: 4/7/19",,,,,,2018,FLRN-MD-18-1730,,Yes,,,,,,,,9/11/2018,11/20/2018,,,,
Delta (2 shots),,Male,8 weeks,"Shepherd, Pointer",Brindle & White,"Puppy Screen
S/N: 4/7/19",,,,,,2018,FLRN-MD-18-1731,,Yes,,,,,,,,9/11/2018,11/19/2018,,,,
Turf,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13704884&key=Mqr6gy1W,Male,9 months,Labrador Retriever,Black & White,Walks alone not enough (needs running or playtime),,,,,,2018,FLRN-MD-18-1724,,Yes,,,,,,,,1/26/2018,11/24/2018,,,,
Van Heusen,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13747417&key=Mqr6gy1W,Male,5 years,Puggle,Tri-color,Medium energy,,,,,,2018,MTHY-MD-18-1745,,Yes,,,,,,,,5/4/2013,11/25/2018,,,,
Scorpio,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13697153&key=Mqr6gy1W,Male,1 year,Shepherd,Black & Tan,Very high energy; Walks alone not enough (needs running or playtime); Doxy - 100mg 2x/day for Kennel cough,,,,,,2018,MTHY-MD-18-1678,,Yes,,,,,,,,10/20/2017,11/25/2018,,,,
Cleo,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13704797&key=Mqr6gy1W,Female,1 year,Labrador Retriever,Black & White,Walks alone not enough (needs running or playtime),,,,,,2018,FLRN-FD-18-1702,,Yes,,,,,,,,10/25/2017,11/25/2018,,,,
Leo,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13697417&key=Mqr6gy1W,Male,1 year,Great Pyrenees,White,Walks alone not enough (needs running or playtime),,,,,,2018,MTHY-MD-18-1747,,Yes,,,,,,,,10/20/2017,11/25/2018,,,,
Schroeder,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13748275&key=Mqr6gy1W,Male,1.5 years,"Miniature Pinscher, Chihuahua",Black & Tan, Walks alone not enough (needs running or playtime); 2nd dog required (shy); needs leash training; caution with kids who might let him escpae,,Lived with,,,,2018,MTHY-MD-18-1744,,REQUIRED,,,,,,,,5/4/2018,11/25/2018,,,,
Buddy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=9273786&key=Mqr6gy1W,Male,3 years,German Shepherd,Tan & Black,Walks alone not enough (needs running or playtime); good with kids; returned for housebreaking issues,,Yes,,,,2018,GLTR-MD-15-1034,,Yes,,,,,No,,,,11/25/2018,Mix,months,,Yes
Polo,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13753714&key=Mqr6gy1W,Male,5 months,Hound,Tri-color,Walks alone not enough (needs running or playtime); caution on apartments due to breed; 5 month old puppy; Cephalexin - 250mg 2x/day for 7 days,,,,,,2018,FLRN-MD-18-1717,,Yes,,,,,,,,5/26/2018,11/25/2018,,,,
Tantor (3 shots),,Male,4 months,"Labrador Retriever, Pointer",Black and White,"Puppy Screen
S/N: 12/7/18",,,,,,2018,PRCO-MD-18-1681,,Yes,,,,,,,,6/15/2018,11/25/2018,,,,
Tiger Lilly (3 shots),,Female,4 months,"Labrador Retriever, Pointer",Black,"Puppy Screen
S/N: 12/7/18",,,,,,2018,PRCO-FD-18-1683,,Yes,,,,,,,,6/15/2018,11/25/2018,,,,
Trusty (3 shots),,Male,4 months,"Labrador Retriever, Pointer",Black,"Puppy Screen
S/N: 12/7/18",,,,,,2018,PRCO-MD-18-1687,,Yes,,,,,,,,6/15/2018,11/25/2018,,,,
Gnocchi,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13744286&key=Mqr6gy1W,Male,1 year,"Beagle, Rat Terrier",Tri-color,Walks alone not enough (needs running or playtime); shy,,,,,,2018,MTHY-MD-18-1746,,Yes,,,,,,,,11/4/2017,11/25/2018,,,,
Allison,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13807136&key=Mqr6gy1W,Female,1 year,Australian Shepherd,White w/ Brown,New this week; Aussie mix; high energy; passed shelter cat test,Passed shelter test,,,,,2018,FLRN-FD-18-1761,,Yes,,,,,,,,11/26/2017,12/1/2018,,,,
Charles,,Male,6 years,Wire-Haired Terrier,Tan,New this week; Wire-Haired Terrier mix,,,,,,2018,FLRN-MD-18-1768,,Yes,,,,,,,,11/27/2012,12/1/2018,,,,
Nellie (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13787731&key=Mqr6gy1W,Female,2 months,Shepherd,Tan w/ White,"New this week; Shepherd mix; Puppy Screen; healing right tibial fracture
S/N: 4/15/19",,,,,,2018,FLRN-FD-18-1793,,Yes,,,,,,,,9/13/2018,12/1/2018,,,,
Nubbin,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13619219&key=Mqr6gy1W,Male,10 months,Labrador Retriever,Tan & White,New this week; Labrador mix; tripod,,,,,,2018,FLRN-MD-18-1795,,Yes,,,,,,,,1/27/2018,12/1/2018,,,,
Peytin,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13821664&key=Mqr6gy1W,Male,7 years,"Maltese, Poodle",Tan,New this week; Maltipoo mix,,,,,,2018,FLRN-MD-18-1798,,Yes,,,,,,,,11/26/2011,12/1/2018,,,,
Prada,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13821085&key=Mqr6gy1W,Female,7 years,"Maltese, Poodle",White,New this week; Maltipoo mix,,,,,,2018,FLRN-FD-18-1800,,Yes,,,,,,,,11/30/2011,12/1/2018,,,,
Taizo,,Male,,,,,,,,,,2018,KAHS-MD-18-1748,,,,,,,,,,11/21/2016,12/1/2018,,,,
Norma Jean (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13542393&key=Mqr6gy1W,Female,2 years,Labrador Retriever,Black & White,Walks alone not enough (needs running or playtime); HW treated 9/10/18; lived with cats ,Yes,,,,,2018,FLRN-FD-18-1582,,Yes,,,,,,,,9/12/2016,12/2/2018,,,,
Luna (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13138663&key=Mqr6gy1W,Female,7 months,Flat-Coated Retriever,Black w/ White,"Puppy Screen; caution on small kids (knocks them over); needs running/playtime when older; passed cat test but is curious (best with dog-savvy cat)
Spayed 11/13/18",,,,,,2018,FLRN-FD-18-0981,,Yes,,,,,,,,4/30/2018,11/28/2018,,,,
Ace (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13820448&key=Mqr6gy1W,Male,2 months,Mastiff,Black,"New this week; Mastiff Mix; Puppy Screen
S/N: 3/28/19",,,,,,2018,FLRN-MD-18-1752,,Yes,,,,,,,,10/3/2018,12/1/2018,,,,
Alaska (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13820456&key=Mqr6gy1W,Female,2 months,Mastiff,Black,"New this week; Mastiff Mix; Puppy Screen
S/N: 3/28/19",,,,,,2018,FLRN-FD-18-1753,,Yes,,,,,,,,10/3/2018,12/2/2018,,,,
Ash (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13820439&key=Mqr6gy1W,Male,2 months,Mastiff,Black,"New this week; Mastiff Mix; Puppy Screen
S/N: 3/28/19",,,,,,2018,FLRN-MD-18-1754,,Yes,,,,,,,,10/3/2018,12/1/2018,,,,
Aspen (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13820473&key=Mqr6gy1W,Female,2 months,Mastiff,Orange w/ Black,"New this week; Mastiff Mix; Puppy Screen
S/N: 3/28/19",,,,,,2018,FLRN-FD-18-1755,,Yes,,,,,,,,10/3/2018,12/1/2018,,,,
Autumn (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13820479&key=Mqr6gy1W,Female,2 months,Mastiff,Orange,"New this week; Mastiff Mix; Puppy Screen
S/N: 3/28/19",,,,,,2018,FLRN-FD-18-1756,,Yes,,,,,,,,10/3/2018,12/2/2018,,,,
Axel (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13820453&key=Mqr6gy1W,Male,2 months,Mastiff,Black,"New this week; Mastiff Mix; Puppy Screen
S/N: 3/28/19",,,,,,2018,FLRN-MD-18-1757,,Yes,,,,,,,,10/3/2018,12/2/2018,,,,
Elise (2 shots),,Female,2 months,Retriever,Golden,"New this week; Retriever mix; Puppy Screen
S/N: 3/15/18",,,,,,2018,FLRN-FD-18-1773,,Yes,,,,,,,,9/22/2018,12/1/2018,,,,
Skye (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13805286&key=Mqr6gy1W,Female,2 months,Shepherd,Tan,"New this week; Shepherd mix; Puppy Screen
S/N: 3/7/19",,,,,,2018,FLRN-FD-18-1807,,Yes,,,,,,,,9/11/2018,12/1/2018,,,,
Nora (2 shots),,Female,2 months,Shepherd,Orange w/ Black & White,"New this week; Shepherd mix; Puppy Screen
S/N: 2/14/18",,,,,,2018,FLRN-FD-18-1792,,Yes,,,,,,,,9/6/2018,12/1/2018,,,,
Mic,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13820515&key=Mqr6gy1W,Male,5 months,Shepherd,Brindle w/ White,New this week; Shepherd mix; 5 month old puppy,,,,,,2018,FLRN-MD-18-1788,,Yes,,,,,,,,6/28/2018,12/2/2018,,,,
Sweetie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13698733&key=Mqr6gy1W,Female,2 years,"English Bulldog, Boston Terrier",Brindle w/ White,Walks alone not enough (needs running or playtime); Bully Screen; very high energy; lived with cats but chases,Lived with (chases),,,,,2018,FLRN-FD-18-1644,,Yes,,,,,,,,4/16/2016,12/2/2018,,,,
Brie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13805209&key=Mqr6gy1W,Female,3 years,Chihuahua,Black w/ White,New this week; Chihuahua mix; socialization recommended; no kids under 15,,No,,,,2018,FLRN-FD-18-1767,,Yes,,,,,,,,11/28/2015,12/2/2018,,,,
Posey,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13739476&key=Mqr6gy1W,Female,2 years,Shepherd,Tri-color,New this week; Shepherd mix,,,,,,2018,MTHY-FD-18-1749,,Yes,,,,,,,,11/4/2016,12/2/2018,,,,
Atticus,http://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13746778&key=Mqr6gy1W,Male,1 year,Shepherd,Brown & Black,New this week; Shepherd mix,,,,,,2018,FLRN-MD-18-1764,,Yes,,,,,,,,11/1/2017,12/2/2018,,,,
Simon,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13820014&key=Mqr6gy1W,Male,1 year,Labrador Retriever,Brown w/ White,New this week; Labrador mix,,,,,,2018,FLRN-MD-18-1805,,Yes,,,,,,,,11/28/2017,12/2/2018,,,,
Koda,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13804771&key=Mqr6gy1W,Male,10 months,Husky,Grey & White,New this week; Husky Mix; Husky Screen,,,,,,2018,FLRN-MD-18-1784,,Yes,,,,,,,,1/27/2018,12/2/2018,,,,
Shasta,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=13782714&key=Mqr6gy1W,Female,4 years,"Whippet, Shepherd",Brindle,Walks alone not enough (needs running or playtime); missing left eye; passed shelter cat test,Passed shelter test,,,,,2018,KAHS-FD-18-1743,,Yes,,,,,,,,1/1/2014,12/2/2018,,,,
Adley,,Female,6 months,Labrador,Black / White,New this week; Labrador mix; 6 month old puppy,,,,,,2018,FLRN-FD-18-1811,,Yes,,,,,,,,5/26/2018,12/2/2018,,,,
